# spectral wave data output
# [irregular wave components]
# nfreq 200
# ndir 0
# omega [rad/s]    a[m]       k[rad/m]        phi[rad]    theta[rad]
 7.18363E-01   9.23212E-02   5.26378E-02   2.84166E+01  -2.78300E-01
 7.18363E-01   1.75018E-01   5.26378E-02   5.57133E+01   2.78300E-01
 7.23418E-01   9.33583E-02   5.33775E-02   2.12871E+01  -4.93941E-01
 7.29994E-01   9.44370E-02   5.43481E-02   4.72377E+01   6.65682E-02
 7.32414E-01   1.44485E-01   5.47076E-02   4.37653E+01  -1.32552E-01
 7.35604E-01   1.50433E-01   5.51833E-02   1.47688E+01  -5.51655E-01
 7.36395E-01   1.29028E-01   5.53016E-02   3.53818E+01  -1.97396E-01
 7.36395E-01   2.28261E-01   5.53016E-02   5.83068E+01   1.97396E-01
 7.41860E-01   1.43030E-01   5.61227E-02   3.59401E+01  -2.60602E-01
 7.44929E-01   9.12490E-02   5.65865E-02   1.91054E+01  -4.63648E-01
 7.48712E-01   1.58965E-01   5.71610E-02   3.05037E+01  -3.21751E-01
 7.48712E-01   1.23606E-01   5.71610E-02   6.07735E+01   3.21751E-01
 7.53176E-01   9.34796E-02   5.78429E-02   5.10182E+01  -0.00000E+00
 7.53912E-01   9.74497E-02   5.79558E-02   4.59992E+01  -6.24188E-02
 7.53912E-01   1.00319E-01   5.79558E-02   5.58128E+01   6.24188E-02
 7.56108E-01   9.65007E-02   5.82930E-02   1.89271E+01  -5.19146E-01
 7.56108E-01   1.22594E-01   5.82930E-02   4.66568E+01  -1.24355E-01
 7.56108E-01   2.06396E-01   5.82930E-02   5.86950E+01   1.24355E-01
 7.56836E-01   1.49547E-01   5.84050E-02   2.88396E+01  -3.80506E-01
 7.56836E-01   8.37268E-02   5.84050E-02   6.65473E+01   3.80506E-01
 7.59726E-01   2.02713E-01   5.88509E-02   5.94739E+01   1.85348E-01
 7.64705E-01   1.21985E-01   5.96231E-02   4.03572E+01  -2.44979E-01
 7.64705E-01   1.26256E-01   5.96231E-02   6.13826E+01   2.44979E-01
 7.66109E-01   1.46027E-01   5.98419E-02   2.42573E+01  -4.36627E-01
 7.66109E-01   8.90406E-02   5.98419E-02   6.95807E+01   4.36627E-01
 7.70965E-01   1.05632E-01   6.06015E-02   3.75615E+01  -3.02885E-01
 7.76404E-01   1.06814E-01   6.14581E-02   2.43703E+01  -4.89957E-01
 7.77076E-01   1.03381E-01   6.15643E-02   5.05805E+01  -5.87558E-02
 7.79081E-01   1.30432E-01   6.18819E-02   4.43033E+01  -1.17109E-01
 7.79081E-01   9.44877E-02   6.18819E-02   6.01018E+01   1.17109E-01
 7.82388E-01   1.50755E-01   6.24077E-02   4.59687E+01  -1.74672E-01
 7.82388E-01   1.02671E-01   6.24077E-02   6.04422E+01   1.74672E-01
 7.86949E-01   9.25052E-02   6.31364E-02   3.88549E+01  -2.31091E-01
 7.86949E-01   1.10978E-01   6.31364E-02   6.52976E+01   2.31091E-01
 7.98941E-01   1.37930E-01   6.50733E-02   5.70445E+01  -0.00000E+00
 7.99558E-01   1.49919E-01   6.51736E-02   3.37702E+01  -3.39293E-01
 7.99558E-01   1.00761E-01   6.51736E-02   6.04390E+01   5.54985E-02
 8.04438E-01   1.75214E-01   6.59709E-02   6.31191E+01   1.65149E-01
 8.06845E-01   9.09869E-02   6.63659E-02   2.20911E+01  -5.12389E-01
 8.06845E-01   8.34023E-02   6.63659E-02   7.78608E+01   5.12389E-01
 8.08636E-01   1.03275E-01   6.66607E-02   7.10898E+01   2.18669E-01
 8.13938E-01   9.99932E-02   6.75372E-02   4.00711E+01  -2.70947E-01
 8.13938E-01   8.55069E-02   6.75372E-02   7.50477E+01   2.70947E-01
 8.17992E-01   9.78110E-02   6.82111E-02   8.40914E+01   5.58599E-01
 8.20282E-01   9.36395E-02   6.85932E-02   3.53044E+01  -3.21751E-01
 8.23117E-01   9.74949E-02   6.90679E-02   6.75069E+01   1.04877E-01
 8.25923E-01   1.47564E-01   6.95394E-02   4.91776E+01  -1.56602E-01
 8.27593E-01   1.21834E-01   6.98208E-02   7.85568E+01   3.70891E-01
 8.29804E-01   1.04398E-01   7.01941E-02   7.22021E+01   2.07496E-01
 8.42711E-01   9.30953E-02   7.23939E-02   6.68495E+01   4.99584E-02
 8.44284E-01   1.09066E-01   7.26642E-02   5.58000E+01  -9.96686E-02
 8.46885E-01   1.42774E-01   7.31125E-02   7.07387E+01   1.48890E-01
 8.63478E-01   1.01145E-01   7.60048E-02   6.71693E+01   4.75831E-02
 8.67360E-01   1.13312E-01   7.66896E-02   5.91734E+01  -1.41897E-01
 8.67360E-01   1.17663E-01   7.66896E-02   7.67233E+01   1.41897E-01
 8.81929E-01   1.05350E-01   7.92871E-02   9.31353E+01   4.22854E-01
 8.87379E-01   9.77989E-02   8.02700E-02   8.02117E+01   1.35528E-01
 8.94494E-01   9.48264E-02   8.15622E-02   5.60420E+01  -2.23477E-01
 9.18144E-01   1.34333E-01   8.59319E-02   9.67154E+01   3.88319E-01
 9.23381E-01   8.98261E-02   8.69149E-02   5.30871E+01  -2.95441E-01
 9.29314E-01   8.13498E-02   8.80354E-02   4.85015E+01  -3.34737E-01
 9.47575E-01   9.80493E-02   9.15291E-02   6.32581E+01  -1.58655E-01
